REMOTE_PORT,LATENCY,THROUGHPUT,ANOMALY
20,16.96775157,12.71315903,0
67,17.52250285,13.97242414,0
443,11.90014191,11.96334347,0
53,17.44191549,17.17604559,0
23,19.4695398,19.14254771,0
21,10.48742473,10.09797713,0
21,11.65363649,10.78425722,0
443,14.36182834,11.51179446,0
53,13.58644567,19.35868384,0
67,14.99077639,16.68790264,0
22,18.90839308,17.69411211,0
68,12.34082809,19.73912088,0
67,15.7649854,12.75637869,0
80,19.49454603,11.72570476,0
68,18.22028207,17.9279519,0
443,11.75886647,16.73414884,0
20,10.43455101,16.1885157,0
23,12.58710031,16.79325063,0
21,19.87864935,15.04436455,0
23,10.21428536,10.77217309,0
80,14.79907807,15.72579279,0
21,11.94219616,16.80841085,0
68,12.62505578,14.64637711,0
23,15.69300718,13.69532028,0
53,14.64528978,15.55332451,0
22,13.74112973,17.41186247,0
80,15.43268317,19.36482159,0
67,18.75852508,19.2255537,0
443,19.8000188,18.7491674,0
22,15.21592406,17.73920188,0
68,15.2255524,11.22647629,0
443,15.85928676,15.60695737,0
20,10.67429376,13.65007494,0
68,19.73274565,11.75855483,0
80,10.61973674,18.18704822,0
20,18.89876907,17.95107138,0
53,19.09654044,19.98330334,0
21,13.83204448,16.12807139,0
21,17.76012604,17.53675029,0
21,12.14275076,13.27312712,0
68,15.21458243,17.54012681,0
21,19.85265844,16.10044146,0
23,17.81315323,13.00748276,0
80,15.87203453,15.98497853,0
21,17.44881548,16.17946879,0
67,15.32378608,15.78978799,0
67,16.43824984,14.57890526,0
443,10.14413438,19.77767961,0
68,17.72846185,13.01667228,0
21,18.53914525,17.94278678,0
67,18.27216751,16.72174176,0
80,12.24461766,19.13327046,0
53,18.04505502,13.33304062,0
53,19.13798131,17.67758494,0
68,19.42552103,10.19358027,0
21,16.98685195,11.33838249,0
21,10.24948448,10.63502221,0
20,14.99861149,12.39110758,0
443,11.30758104,15.34424516,0
21,17.91358642,12.30450742,0
20,14.5926087,17.98808387,0
80,14.49260691,15.78700039,0
23,12.5469891,10.64765643,0
443,19.39710944,16.55779693,0
68,13.89697885,13.16406719,0
67,10.39797449,15.71649063,0
80,11.40415072,17.22823614,0
67,10.44865258,13.9739368,0
53,19.74451146,13.25154622,0
21,19.84611828,19.24707465,0
68,18.66021153,15.57643582,0
22,12.37186102,19.04225925,0
443,15.83978421,18.30301839,0
68,13.78120365,12.95118543,0
20,18.27056678,11.11348543,0
53,17.00698366,15.72522764,0
23,11.08049038,17.6194565,0
80,13.41325644,13.30227709,0
22,14.00437375,19.48044245,0
23,16.35794222,16.90094463,0
22,11.66055554,15.43451627,0
53,12.40810836,13.63392851,0
23,12.25234379,13.87034015,0
67,19.35217736,10.76739634,0
