REMOTE_PORT,LATENCY,THROUGHPUT,ANOMALY
67,12.29110437,10.00449938,0
53,16.44849634,15.56583099,0
443,16.70005645,19.92652308,0
443,19.61053977,13.9828698,0
20,13.40843629,12.14042246,0
21,12.71463235,19.94746166,1
80,17.45557597,16.84071147,0
68,14.20427664,12.56577897,0
21,14.02488397,15.81413173,0
20,12.6527889,15.55873213,0
443,11.09229869,16.10833113,0
20,17.2685618,10.39277633,0
68,15.10974163,15.97559404,0
68,16.17113962,18.62294971,0
23,18.81983125,15.10207012,1
80,10.83595295,11.44588338,0
20,15.03788637,19.387461,0
67,10.06077986,17.79389977,0
443,19.55915896,11.14304698,0
67,16.96847791,12.3124546,0
67,12.67061029,19.12839332,0
68,11.44465462,18.8127817,0
68,16.02754078,16.56416487,0
20,11.5681498,19.15895773,0
80,13.16224818,18.44704501,0
22,10.4097916,16.49143284,0
22,15.6317849,12.89419652,0
20,10.05270215,12.2907101,0
443,13.51385881,11.60327842,0
22,19.85283519,10.687872,0
53,18.57093521,11.90890267,0
53,11.97681978,18.59386937,0
68,10.23659808,12.64719228,0
53,18.83585582,10.31507577,0
67,19.51591853,13.81442104,0
53,11.55767228,10.4955206,0
21,10.37143468,16.23796352,0
443,10.868898,15.00129091,0
67,10.74464227,14.21175107,0
23,17.22680458,10.58877356,0
21,16.33315193,14.313083,0
53,15.99477186,15.68015427,0
67,19.78338141,10.2407172,1
443,19.89420373,12.40315534,0
67,16.48914394,12.23143441,0
80,16.51248003,15.77265106,0
23,12.05511466,19.83513774,1
68,13.42101849,10.68328281,0
80,13.25503988,15.0317845,0
21,15.22164115,18.95680109,0
20,17.0748367,16.07212825,0
23,14.37582564,13.61906403,0
68,13.23594423,11.20590446,0
80,18.27781353,11.89524673,0
23,11.07463011,18.79177787,0
67,17.78817468,18.34648468,0
67,10.58781146,16.39584694,0
443,11.52238857,11.64436793,0
20,18.4276413,18.98994707,0
22,11.45072707,16.1130594,0
68,17.51756772,10.64199558,0
443,11.74262936,10.49511084,0
443,17.07897771,12.80174885,0
21,17.09381698,14.14304371,0
22,16.85517783,19.68847948,0
20,18.68912759,10.43268527,0
67,12.06502695,13.66486982,0
20,17.61500018,11.7255649,0
20,10.18856856,18.83013948,0
67,16.23525543,12.97571187,0
53,10.9255312,16.0821078,0
53,16.17874005,10.22149442,0
53,16.15381626,11.72728844,0
53,14.62388491,10.63699314,0
68,11.9253441,18.64377776,0
53,10.91900891,15.23058834,0
23,17.43579315,14.49566487,1
22,12.38501451,17.83751538,0
21,13.35259478,13.41302144,0
23,10.7629967,14.27170551,0
20,12.00345355,17.72134064,0
53,13.34408037,16.73725671,0
80,12.29276323,18.1239054,0
21,13.98344046,16.38646384,0
21,12.71465224,17.47296299,0
20,19.2467055,15.0110736,0
67,14.3686698,18.4250698,0
68,19.0845122,10.34386834,0
22,16.21700679,12.59651821,0
443,15.586145,14.24608048,1
80,13.33378,12.77941953,0
68,11.12513977,11.22057038,0
80,11.49884708,19.93253268,1
68,13.50527952,11.38009522,0
443,19.68607445,10.32957868,0
67,12.6965328,16.60273652,0
21,15.42347914,16.65466651,0
53,17.5971181,16.20268859,1
80,15.97722597,13.27479665,0
443,15.44518352,19.27156183,0
443,11.00060246,15.92129525,0
22,19.97421488,19.95077504,0
20,14.17982949,16.27140965,0
21,19.67283492,15.89893603,0
53,18.50227194,19.63730886,1
80,18.79009311,19.90821357,0
23,14.16684639,17.44375473,0
22,16.29126787,16.50730556,0
443,17.68753665,11.96503926,0
443,16.34576813,15.45712666,0
68,19.07236398,18.47695986,0
22,18.35700463,17.79028113,0
53,17.57934706,16.73174948,0
21,18.13970311,13.50730247,0
20,14.05944052,14.55889086,1
67,16.90748312,10.36088891,0
80,13.83948899,13.53302251,0
80,13.41651951,13.60255973,0
53,16.28715876,10.64499925,0
68,13.11673957,17.82010556,0
68,18.5555484,10.88589593,0
80,16.13373322,16.22108044,0
68,14.67031271,12.65900136,0
20,14.87715603,10.94956034,0
22,17.81076509,11.46190839,0
53,11.51419577,12.97254871,1
53,19.56544269,15.43377414,0
20,16.7779251,10.29655749,0
22,15.02904171,14.80198246,0
22,14.77733897,10.15345188,0
23,17.12691922,17.70226901,0
68,15.7354357,10.18532771,0
21,18.48474975,16.16833074,0
67,17.1194645,17.41078887,0
20,15.00077475,18.10902905,0
53,10.17237335,16.36350126,0
21,12.25017097,18.45360227,0
443,15.98951301,15.52549717,0
53,10.20714859,13.6150653,0
68,13.32489113,14.46132999,1
68,12.75609418,13.37401289,0
22,19.10953393,14.63226798,0
22,10.05661327,11.55687014,0
53,10.81304839,16.36839455,0
80,16.37810391,19.23472872,0
21,10.93906909,17.47307347,0
22,16.51164649,17.01628755,0
53,17.30289184,12.45237095,0
23,16.44448072,16.99954639,0
80,16.63830903,18.17017433,0
68,17.45630799,15.22494986,0
53,18.0157333,11.14199609,0
20,16.89836446,10.88017437,0
23,15.00885605,15.48814956,0
443,15.13484549,14.012505,0
22,15.43582224,17.42761042,0
67,15.75495293,10.27531441,1
53,14.05406187,19.61507195,0
23,13.67322335,17.93172643,0
21,15.35676908,14.32322978,0
67,15.05234268,15.39213466,0
23,10.52516178,17.40626824,0
68,18.48698777,10.23002091,0
23,19.74097999,13.16246564,0
23,15.69672146,13.34700103,0
67,13.31084163,14.5930308,0
67,14.25714439,10.87649242,0
22,14.56351684,18.12159475,0
53,14.13902397,14.71693677,0
21,16.40333722,17.26813711,0
23,11.73913812,12.54038715,0
20,14.4115968,17.06876847,0
20,16.45964143,11.56367628,0
443,16.62665707,10.29360501,0
68,10.29586987,18.08067979,0
53,15.065541,18.96492609,0
80,14.92342091,16.21083441,0
67,16.55064511,15.05663292,0
67,12.94020068,11.25407422,0
53,14.9962382,13.57874788,0
23,15.10460365,13.48937602,0
80,18.1546714,12.31679883,0
23,11.43635581,11.95438339,0
21,14.70387774,11.5638162,0
20,16.23844142,12.6438945,0
20,14.20752112,14.19758386,0
22,12.08232878,18.74549158,0
80,18.80308612,17.64150852,0
67,18.91253269,12.51550733,0
80,13.44245806,10.26185157,0
21,18.47289208,14.04678155,0
80,18.99357744,10.92001463,0
67,10.83094141,18.2798974,0
80,19.4699107,15.64828303,0
22,13.20932643,16.60706256,0
53,13.12160537,16.94027731,0
53,19.09678669,13.07999584,0
20,13.83720047,19.31297291,0
67,18.99923189,11.7511798,0
22,14.06448525,12.10863305,0
53,18.48160115,11.36816893,0
443,15.40370056,11.14142178,0
53,19.17942918,11.97704368,0
23,19.87029614,15.18294239,0
67,10.19215539,13.83207867,0
20,16.60100204,18.40122967,0
21,12.74578291,19.81726294,0
20,14.03170406,19.51003108,1
20,18.39587789,12.13674152,0
20,12.34854947,11.36826601,0
53,12.04050291,11.32987196,0
80,18.01289771,14.41453845,0
22,19.23314061,15.4064424,0
67,11.25755802,12.28405172,0
68,14.9606769,17.099907,0
67,19.194303,19.61921162,0
68,14.92303768,17.8543566,0
67,13.9227962,15.17683925,0
